snapshot_day,threshold,weighted_f1,model,training_scenario
75,0.68,0.0498727735368958,Logistic Regression,oulad_source
0,0.83,0.04907633321714951,Logistic Regression,oulad_source
60,0.78,0.04900816802800453,Logistic Regression,oulad_source
75,0.69,0.047143223161670626,Logistic Regression,oulad_source
35,0.87,0.04656716417910548,Logistic Regression,oulad_source
35,0.88,0.04556354916067244,Logistic Regression,oulad_source
60,0.79,0.0452830188679244,Logistic Regression,oulad_source
60,0.8,0.04443382704252257,Logistic Regression,oulad_source
75,0.7,0.04201244813278019,Logistic Regression,oulad_source
75,0.71,0.03908285565398655,Logistic Regression,oulad_source
75,0.72,0.03625853914871265,Logistic Regression,oulad_source
60,0.81,0.035988483685220625,Logistic Regression,oulad_source
75,0.73,0.033315705975674334,Logistic Regression,oulad_source
35,0.89,0.03151515151515219,Logistic Regression,oulad_source
60,0.82,0.030449492508458104,Logistic Regression,oulad_source
60,0.83,0.027669902912621277,Logistic Regression,oulad_source
75,0.74,0.027185501066098156,Logistic Regression,oulad_source
35,0.9,0.02682926829268351,Logistic Regression,oulad_source
60,0.84,0.022102161100196395,Logistic Regression,oulad_source
0,0.84,0.02205197966635673,Logistic Regression,oulad_source
75,0.75,0.020905923344947792,Logistic Regression,oulad_source
60,0.85,0.020674378538026027,Logistic Regression,oulad_source
75,0.77,0.017920173771382074,Logistic Regression,oulad_source
75,0.76,0.017818574514038923,Logistic Regression,oulad_source
0,0.85,0.017072994284887753,Logistic Regression,oulad_source
35,0.91,0.015970515970516318,Logistic Regression,oulad_source
75,0.79,0.014904775048302552,Logistic Regression,oulad_source
75,0.78,0.014831090359791304,Logistic Regression,oulad_source
60,0.87,0.011910669975186064,Logistic Regression,oulad_source
60,0.86,0.011892963330029694,Logistic Regression,oulad_source
75,0.81,0.01164079822616411,Logistic Regression,oulad_source
75,0.8,0.011631127111603466,Logistic Regression,oulad_source
0,0.86,0.010172200828307932,Logistic Regression,oulad_source
35,0.92,0.009870450339296948,Logistic Regression,oulad_source
60,0.88,0.007483162883512073,Logistic Regression,oulad_source
75,0.83,0.006690827989963777,Logistic Regression,oulad_source
75,0.82,0.006679654884497653,Logistic Regression,oulad_source
75,0.84,0.005022321428571442,Logistic Regression,oulad_source
75,0.85,0.005022321428571442,Logistic Regression,oulad_source
35,0.93,0.00495049504950506,Logistic Regression,oulad_source
35,0.94,0.003721314864585569,Logistic Regression,oulad_source
35,0.95,0.0024824162184526825,Logistic Regression,oulad_source
75,0.88,0.0016877637130801736,Logistic Regression,oulad_source
75,0.89,0.0016877637130801736,Logistic Regression,oulad_source
75,0.9,0.0016877637130801736,Logistic Regression,oulad_source
75,0.87,0.0016835016835016882,Logistic Regression,oulad_source
75,0.86,0.0016797312430011245,Logistic Regression,oulad_source
60,0.91,0.0015178345560333873,Logistic Regression,oulad_source
60,0.92,0.0015178345560333873,Logistic Regression,oulad_source
60,0.93,0.0015178345560333873,Logistic Regression,oulad_source
60,0.9,0.0015064022093899021,Logistic Regression,oulad_source
60,0.89,0.0015033826108744627,Logistic Regression,oulad_source
0,0.87,0.0,Logistic Regression,oulad_source
0,0.88,0.0,Logistic Regression,oulad_source
0,0.89,0.0,Logistic Regression,oulad_source
0,0.9,0.0,Logistic Regression,oulad_source
0,0.91,0.0,Logistic Regression,oulad_source
75,0.91,0.0,Logistic Regression,oulad_source
0,0.92,0.0,Logistic Regression,oulad_source
75,0.92,0.0,Logistic Regression,oulad_source
0,0.93,0.0,Logistic Regression,oulad_source
75,0.93,0.0,Logistic Regression,oulad_source
0,0.94,0.0,Logistic Regression,oulad_source
60,0.94,0.0,Logistic Regression,oulad_source
75,0.94,0.0,Logistic Regression,oulad_source
0,0.95,0.0,Logistic Regression,oulad_source
60,0.95,0.0,Logistic Regression,oulad_source
75,0.95,0.0,Logistic Regression,oulad_source
0,0.39,0.45224735260631704,Logistic Regression,pooled
0,0.41,0.45102716448391,Logistic Regression,pooled
0,0.4,0.45030791034075224,Logistic Regression,pooled
0,0.37,0.4499402774855532,Logistic Regression,pooled
0,0.38,0.4493258834274565,Logistic Regression,pooled
0,0.36,0.4486292598204595,Logistic Regression,pooled
0,0.42,0.4472452524629501,Logistic Regression,pooled
0,0.46,0.44633278882774335,Logistic Regression,pooled
0,0.43,0.44495906832547966,Logistic Regression,pooled
0,0.47,0.4443199765504856,Logistic Regression,pooled
0,0.45,0.4441974977520127,Logistic Regression,pooled
0,0.44,0.4434919749608493,Logistic Regression,pooled
0,0.48,0.4429727136060078,Logistic Regression,pooled
0,0.35,0.441608164018578,Logistic Regression,pooled
0,0.5,0.4359065931299421,Logistic Regression,pooled
0,0.34,0.4358853879264848,Logistic Regression,pooled
0,0.49,0.4357412959306279,Logistic Regression,pooled
0,0.51,0.43282359858021496,Logistic Regression,pooled
0,0.52,0.4325302940643171,Logistic Regression,pooled
0,0.53,0.4303796085943733,Logistic Regression,pooled
0,0.33,0.42965481645102077,Logistic Regression,pooled
0,0.32,0.42804933353104047,Logistic Regression,pooled
0,0.31,0.4252678388860339,Logistic Regression,pooled
0,0.05,0.4247618702851653,Logistic Regression,pooled
0,0.06,0.4247618702851653,Logistic Regression,pooled
0,0.07,0.4247618702851653,Logistic Regression,pooled
0,0.08,0.4247618702851653,Logistic Regression,pooled
0,0.09,0.4247618702851653,Logistic Regression,pooled
0,0.1,0.4247618702851653,Logistic Regression,pooled
0,0.11,0.4247618702851653,Logistic Regression,pooled
0,0.12,0.4247618702851653,Logistic Regression,pooled
